35638	8	65535	65535	6535	65535	0.00	0.00
35646	8	65535	65535	65535	65535	0.00	0.00
35654	8	65535	65535	65535	65535	0.00	0.00
35663	9	65535	65535	65535	Õ535	0.00	0.00
35671	8	65535	65535	65535	65535	0.00	0.00
35680	9	65535	65535	65535	65535	0.00	0.00
35688	8	65535	65535	65535	65535	0.00	0.00
35696	8	65535	65535	65535	65535	0.00	0.00
35704	8	65535	65535	65535	65535	0.00	0.00
35712	8	65535	65535	65535	65535	0.00	0.00
35721	9	65535	65535	65535	65535	0.00	0.00
35729	8	65535	65535	65535	65535	0.00	0.00
35738	9	65535	65535	65535	65535	0.00	0.00
35746	8	65535	65535	65535	65535	0.00	0.00
35754	8	65535	65535	65535	65535	0.00	0.00
35762	8	65535	65535	65535	65535	0.00	0.00
35770	8	65535	65535	65535	65535	0.00	0.00
35779	9	65535	65535	65535	65535	0.00	0.00
35788	9	65535	65535	65535	65535	0.00	0.00
35796	8	65535	65535	65535	65535	0.00	0.00
35804	8	65535	65535	65535	65535	0.00	0.00
35812	8	65535	65535	65535	65535	0.00	0.00
35821	9	65535	65535	65535	65535	0.00	0.00
35829	8	65535	65535	65535	65535	0.00	0.00
35838	9	65535	65535	65535	65535	0.00	0.00
35846	8	65535	65535	65535	65535	0.00	0.00
35855	9	65535	65535	65535	65535	0.00	0.00
35863	8	65535	65535	65535	65535	0.00	0.00
35871	8	65535	65535	65535	65535	0.00	0.00
35880	9	65535	65535	65535	65535	0.00	0.00
35889	9	65535	65535	65535	65535	0.00	0.00
35898	9	65535	65535	65535	65535	0.00	0.00
35906	8	65535	65535	65535	65535	0.00	0.00
35914	8	65535	65535	65535	65535	0.00	0.00
35923	9	65535	65535	65535	65535	0.00	0.00
35931	8	65535	65535	65535	65535	0.00	0.00
35940	9	65535	65535	65535	65535	0.00	0.00
35948	8	65535	65535	65535	65535	0.00	0.00
35957	9	65535	65535	65535	65535	0.00	0.00
35965	8	65535	65535	65535	65535	0.00	0.00
35973	8	65535	65535	65535	65535	0.00	0.00
35981	8	65535	65535	65535	65535	0.00	0.00
35990	9	65535	65535	65535	65535	0.00	0.00
35999	9	65535	65535	65535	65535	0.00	0.00
36007	8	65535	65535	65535	65535	0.00	0.00
